pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585286894 1689585286960 328867.650000 3463446.930000 -2.347904 10.120000
1689585286944 1689585287033 328867.290000 3463446.560000 -2.347904 10.120000
1689585286995 1689585287048 328866.940000 3463446.190000 -2.347904 10.140000
1689585287045 1689585287118 328866.520000 3463445.740000 -2.329796 10.140000
1689585287096 1689585287189 328866.240000 3463445.440000 -2.329796 10.140000
1689585287146 1689585287190 328865.830000 3463445.000000 -2.329796 10.140000
1689585287196 1689585287260 328865.540000 3463444.700000 -2.329796 10.140000
1689585287247 1689585287330 328865.200000 3463444.320000 -2.316488 10.140000
1689585287298 1689585287345 328864.920000 3463444.020000 -2.316488 10.140000
1689585287349 1689585287415 328864.860000 3463443.950000 -2.316488 10.140000
1689585287399 1689585287489 328864.240000 3463443.260000 -2.316488 10.160000
1689585287450 1689585287498 328863.820000 3463442.810000 -2.306671 10.200000
1689585287500 1689585287580 328863.490000 3463442.430000 -2.306671 10.200000
1689585287550 1689585287607 328863.140000 3463442.050000 -2.306671 10.200000
1689585287600 1689585287679 328862.730000 3463441.590000 -2.306671 10.200000
1689585287652 1689585287690 328862.460000 3463441.280000 -2.297290 10.200000
